IDP_WAREHOUSE_ID,IDP_AUDIT_ID,IDP_EFFECTIVE_DATE,IDP_END_DATE,IDP_DELETE_DATE,CONT_ID,MARITAL_ST_TP_CD,BIRTHPLACE_TP_CD,CITIZENSHIP_TP_CD,HIGHEST_EDU_TP_CD,AGE_VER_DOC_TP_CD,GENDER_TP_CODE,BIRTH_DT,DECEASED_DT,CHILDREN_CT,DISAB_START_DT,DISAB_END_DT,USER_IND,LAST_UPDATE_DT,LAST_UPDATE_USER,LAST_UPDATE_TX_ID,X_DECEASED_IND,X_OCCUPATION_TP_CD,X_COMPANY_TP_CD,X_EMPL_TP_CD,X_SEC_CITIZENSHIP_TP_CD,X_CITIZENSHIP_LAST_UPD_DT,X_IMPT_FMLY_NAME,X_US_ALIEN_RES_IND,X_CHILDREN_CT_CAPTURED_DT,X_RESIDENCY_TP_CD,X_SRC_SYS_LAST_UPD_DT,X_SRC_SYS_LAST_UPD_USER,X_SRC_SYS_LAST_UPD_TRANSIT,X_SRC_SYS_LAST_UPD_USER_NAME,X_INCOME_STABILITY_TP_CD
3271130309687,7361582,2009-12-28 23:22:10,,,4487305411,131866,11008,150123,,160003,1,1961-06-04,,3,,,N,2013-04-27 06:25:34,MECH,964939932256277402,N,348825,693,503,,,,N,2021-11-17 04:33:06,701,2013-04-27 06:25:34,svc_mdm,5760,Marilyn Mcdaniel,
8119697532479,8834011,2016-09-28 07:07:25,,,6087124958,131866,,150123,150123,,1,1975-10-19,,2,,,N,2017-09-01 01:03:19,svc_mdm,863970390792257276,N,348832,,501,,,,N,2020-09-22 13:27:14,701,2017-09-01 01:03:19,batchsys,4495,Benjamin Singleton,
6481687937644,5224651,2006-07-07 23:37:57,,,6013289371,131866,,150123,150123,,1,1985-05-13,,2,,,N,2012-09-13 20:49:43,svc_mdm,297658814050213768,N,348840,,501,,2013-02-12 17:59:51,,N,2014-06-30 09:37:55,701,2012-09-13 20:49:43,cusadmin,7700,,
6894601786783,4360324,2024-09-06 01:12:00,,,5044253519,131865,11005,150123,150124,,1,2001-05-27,,0,,,N,2025-11-27 14:49:16,batchsys,814830991758164006,N,348821,683,504,,,,N,,701,2025-11-27 14:49:16,MECH,8601,Christopher Bennett,
4133960062202,2547360,2001-03-14 05:55:21,,,6848619413,131867,,150123,,,1,1973-10-17,,1,,,N,2003-10-05 17:07:49,cusadmin,658059417068376057,N,348835,,501,,2011-04-10 12:55:12,,N,2017-06-09 00:03:45,701,2003-10-05 17:07:49,MECH,5206,,170001
9437920916798,3072154,2013-04-14 15:40:43,,,9627032919,131865,,150123,,,1,1974-09-03,,1,,,N,2013-05-16 17:09:57,cusadmin,705593969744600485,N,348829,,501,,,,N,2022-06-17 10:26:54,701,2013-05-16 17:09:57,batchsys,3087,,170002
5433594339160,7853518,2009-12-05 04:04:58,,,9065446946,131866,11003,150123,,160002,2,1973-02-17,,1,,,N,2020-04-14 13:37:14,batchsys,283021902149855890,N,348826,689,501,,,,N,2022-06-04 19:31:03,702,2020-04-14 13:37:14,migr8,5558,,
9653788500141,3970315,2001-08-28 18:45:13,,,9017132417,131865,,150123,150122,,2,1980-12-27,,0,,,N,2018-12-18 05:19:12,MECH,888853920506067242,N,348822,,504,,2020-07-02 20:00:58,,N,,701,2018-12-18 05:19:12,MECH,5513,Brooke Garcia,
4142563080980,6359237,2017-12-19 12:10:55,2023-01-03 12:25:32,,6394445123,131865,,150123,150122,,2,1962-11-03,,2,,,N,2021-07-30 17:25:09,cusadmin,623967468448644935,N,348820,,502,,,,N,2022-04-04 20:28:05,701,2021-07-30 17:25:09,cusadmin,8285,Colton Terry,
2650422305793,4940911,2023-01-03 12:25:32,,,6394445123,131866,,150123,150122,,2,1962-11-03,,2,,,N,2026-04-01 17:29:04,migr8,433008987525225983,N,348820,,502,,2026-04-27 19:00:57,,N,2023-12-21 17:31:24,701,2026-04-01 17:29:04,batchsys,6417,,170001
1761192203847,4158124,1996-10-26 14:42:56,,,7248361920,131866,11002,,150124,,2,1980-06-05,,0,,,N,2011-12-09 01:15:35,batchsys,569329935670077417,N,348828,,501,,,,N,,701,2011-12-09 01:15:35,batchsys,6131,,
5318376455159,8329112,2023-04-14 17:34:08,,,9323275863,131866,,150123,150123,,2,1979-06-04,,1,,,N,2025-07-13 13:26:43,batchsys,789600743730696457,N,348832,,501,,2025-03-27 21:13:06,,N,2025-05-05 04:26:46,701,2025-07-13 13:26:43,svc_mdm,4764,,
4346205394193,6661744,2013-07-13 21:08:54,2019-01-13 15:14:13,,8464857533,131865,,150123,150123,,1,1976-01-28,,1,,,N,2018-02-20 02:53:59,cusadmin,115529350143270389,N,348829,667,502,,2017-10-27 08:52:20,,N,2019-01-28 08:23:56,701,2018-02-20 02:53:59,MECH,7631,,
4870067618954,8962409,2019-01-13 15:14:13,,,8464857533,131867,,150123,150123,,1,1976-01-28,,1,,,N,2025-09-15 13:53:24,MECH,802628510994227257,N,348829,,502,,2023-09-01 20:40:42,,N,2021-07-08 23:45:53,701,2025-09-15 13:53:24,batchsys,3068,Lindsay Gonzalez,170002
1218824732620,6251200,2007-01-03 05:36:02,,,1947502718,131866,11003,150123,,,2,1944-04-12,,3,,,N,2021-12-03 19:30:51,migr8,578073065882673749,N,348829,,503,,,,N,2011-06-25 18:35:16,701,2021-12-03 19:30:51,cusadmin,7001,Christopher Carter,
6474856271730,9541391,2004-05-17 00:46:53,2016-08-06 23:25:37,,1480437393,131865,11006,150123,150123,,1,1967-08-05,,0,,,N,2025-10-26 21:18:43,migr8,896787104310100403,N,348830,,501,,,,N,,701,2025-10-26 21:18:43,MECH,4875,,170003
4643531831472,4315186,2016-08-06 23:25:37,,,1480437393,131865,,,150123,,1,1967-08-05,,0,2026-05-09,,N,2018-04-28 12:01:32,svc_mdm,453641120666453679,N,348830,,501,,,,N,,701,2018-04-28 12:01:32,MECH,7363,,
5466390776789,8926528,2020-10-24 08:51:45,,,5628005831,131867,,150123,150123,,1,1972-09-03,,3,,,N,2021-09-12 09:02:36,cusadmin,887704290777829963,N,348837,,502,,2025-09-16 22:27:32,,N,2021-04-26 15:05:15,702,2021-09-12 09:02:36,batchsys,9661,Joshua Lopez,
9583412719063,6999716,2011-06-08 16:48:17,2014-08-24 15:58:05,,3671888271,131865,11005,150124,150123,,1,1985-06-14,,1,,,N,2022-12-31 10:35:56,cusadmin,756022893912737548,N,348834,,501,,2011-07-23 06:08:11,,N,2014-01-08 02:11:05,701,2022-12-31 10:35:56,cusadmin,6430,,170001
1873799172202,2116217,2014-08-24 15:58:05,,,3671888271,131866,,150123,150123,,1,1985-06-14,,1,,,N,2020-02-24 06:05:20,cusadmin,969017543565675551,N,348834,,501,,2019-11-11 13:50:26,,N,2024-08-14 15:21:08,701,2020-02-24 06:05:20,batchsys,4211,,170003
6028226544750,2381417,2013-08-21 00:45:59,,,4767474707,131867,,150123,150122,,2,1973-07-14,,0,,,N,2023-06-09 19:25:05,batchsys,527190043904547964,N,348824,,501,,,,Y,,701,2023-06-09 19:25:05,cusadmin,5799,Antonio Goodwin,170002
5225758751002,5434439,2005-04-01 08:14:07,,,7567171378,131865,11008,150123,150124,160001,2,1975-10-11,,0,,,N,2014-03-31 17:56:34,cusadmin,647429059375812567,N,348839,678,503,,,,N,,702,2014-03-31 17:56:34,cusadmin,1385,,
7025360313033,6073703,2023-12-24 15:15:00,,,5088861656,131866,,150123,150123,160003,1,1958-01-21,,2,,,N,2026-01-18 11:54:35,batchsys,322113375649998566,N,348829,,503,,,,N,2024-12-19 13:18:35,701,2026-01-18 11:54:35,batchsys,5502,Tracy Lawrence,170001
4786630949469,3881726,1997-03-07 09:15:12,,,8660179897,131866,,150123,150122,160002,2,1962-10-24,,0,,,N,2016-07-13 04:44:17,batchsys,778749037214654799,N,348837,,501,,,,N,,702,2016-07-13 04:44:17,migr8,2703,Sara Cardenas,
5910155327956,7013451,1997-08-08 13:13:59,2011-09-24 00:25:34,,1825489052,131866,11001,150124,150123,160002,2,1952-09-18,,0,,,N,2024-11-13 13:21:25,svc_mdm,654842642309139377,N,348827,636,501,,,,N,,702,2024-11-13 13:21:25,svc_mdm,1650,Joseph Camacho,170002
4875163198978,8350226,2011-09-24 00:25:34,,,1825489052,131866,,150123,150123,,2,1952-09-18,,0,,,N,2021-04-22 10:37:34,cusadmin,877502155036668595,N,348827,,501,,,,N,,701,2021-04-22 10:37:34,svc_mdm,6422,Stephen Alvarez,
8936476155842,8898040,2004-11-11 15:00:21,2020-03-10 05:59:03,,2072957735,131866,,150123,150122,,2,1974-03-27,,3,,,N,2007-04-05 08:33:23,cusadmin,174372596647516667,N,348839,,501,,,,N,2012-12-30 10:21:04,701,2007-04-05 08:33:23,MECH,4239,,170003
2452920446451,8158007,2020-03-10 05:59:03,,,2072957735,131866,,,150122,160003,2,1974-03-27,,3,,,N,2021-11-11 04:49:55,cusadmin,581734142490229472,N,348839,,501,,2023-03-31 01:42:13,,N,2024-11-12 11:47:59,702,2021-11-11 04:49:55,cusadmin,6824,,170003
7856754027495,2876547,2008-07-30 03:53:08,,,5267194075,131865,,150123,150123,160002,2,1980-12-12,,0,,,N,2025-03-30 06:25:17,batchsys,676563902889555755,N,348822,,501,,,,N,,701,2025-03-30 06:25:17,MECH,7001,,
1095655522636,8676054,2025-05-30 13:55:44,,,4490575256,131865,,,150122,160001,1,2008-07-27,,0,,,N,2025-11-07 06:43:40,MECH,401610541204759456,N,348827,,504,,,,N,,701,2025-11-07 06:43:40,migr8,3928,Carrie Joyce,170003
7305213182349,2895891,2025-03-21 18:08:35,,,7797971555,131866,,150123,150122,,1,1991-06-24,,2,,,N,2026-06-25 22:13:35,svc_mdm,714051279803273532,N,348830,,501,,,,N,2025-05-28 06:03:17,701,2026-06-25 22:13:35,batchsys,1778,Rhonda Martinez,
8819002312034,7109649,2010-03-12 18:13:00,,,4586972560,131866,11008,150123,150122,,2,1969-12-24,,5,,,N,2018-12-12 01:17:58,batchsys,585191434922129955,N,348833,,501,,2011-03-23 12:56:41,,Y,2021-06-08 21:44:57,701,2018-12-12 01:17:58,batchsys,6512,William Graham,170003
3893298976867,1434178,2010-08-22 11:13:26,2025-07-07 01:54:08,,9836253527,131865,11010,150123,150124,,1,1982-08-26,,1,,,N,2010-12-13 02:00:31,svc_mdm,712023241618231123,N,348838,689,501,,,,N,2018-02-26 23:46:53,701,2010-12-13 02:00:31,cusadmin,3522,,
5940226717504,5103108,2025-07-07 01:54:08,,,9836253527,131866,,150123,150124,,1,1982-08-26,,1,,,N,2025-07-18 09:48:12,MECH,603161879451310351,N,348838,,501,,,,N,2026-02-23 23:42:38,701,2025-07-18 09:48:12,MECH,3457,,
8733531743279,5221571,2023-12-24 04:44:38,,,9861202732,131865,,150123,150124,,2,1998-08-22,,1,,,N,2024-08-23 19:50:23,MECH,786333301185086412,N,348837,,501,,,,N,2024-11-04 23:01:15,701,2024-08-23 19:50:23,svc_mdm,3023,,
4117088578576,5305702,2020-11-20 15:03:06,,,1763373450,131867,,150123,150125,,1,2000-07-22,,0,,,N,2023-01-06 01:05:22,MECH,520719443055129758,N,348831,,504,,2025-11-10 02:36:25,,N,,701,2023-01-06 01:05:22,cusadmin,4810,Jimmy Marks,
